Open Time,Open,High,Low,Close,Volume
2024-01-01 00:00:00,42283.58,42554.57,42261.02,42419.73,823.95971
2024-01-01 00:30:00,42419.73,42490.74,42354.19,42475.23,447.72137
2024-01-01 01:00:00,42475.23,42513.17,42431.65,42493.16,341.2479
2024-01-01 01:30:00,42493.16,42775.0,42493.16,42613.56,855.13066
2024-01-01 02:00:00,42613.57,42638.41,42531.1,42546.01,356.59799
2024-01-01 02:30:00,42546.0,42606.25,42500.0,42581.1,328.62181
2024-01-01 03:00:00,42581.09,42586.64,42419.39,42429.47,344.99248
2024-01-01 03:30:00,42429.47,42459.02,42230.08,42330.49,449.81143
2024-01-01 04:00:00,42330.5,42377.43,42209.46,42307.39,418.97363
2024-01-01 04:30:00,42307.4,42399.99,42283.86,42399.99,296.44397
2024-01-01 05:00:00,42399.98,42406.0,42297.9,42297.91,371.73868
2024-01-01 05:30:00,42297.91,42321.13,42180.77,42234.01,364.79284
2024-01-01 06:00:00,42234.01,42344.76,42208.68,42321.1,308.85704
2024-01-01 06:30:00,42321.1,42424.82,42309.15,42396.69,292.51546
2024-01-01 07:00:00,42396.69,42500.0,42396.68,42487.7,408.0417
2024-01-01 07:30:00,42487.7,42500.0,42432.56,42492.46,245.63548
2024-01-01 08:00:00,42492.46,42537.53,42452.58,42482.0,230.6424
2024-01-01 08:30:00,42482.0,42556.5,42461.1,42549.99,196.55125
2024-01-01 09:00:00,42550.0,42658.44,42537.18,42588.01,381.42169
2024-01-01 09:30:00,42588.01,42699.32,42588.0,42649.69,498.20322
2024-01-01 10:00:00,42649.69,42708.93,42628.0,42666.42,408.70667
2024-01-01 10:30:00,42666.41,42749.36,42666.41,42691.1,448.11184000000003
2024-01-01 11:00:00,42691.1,42762.39,42653.33,42681.1,465.58083
2024-01-01 11:30:00,42681.11,42699.99,42605.21,42690.2,319.58484
2024-01-01 12:00:00,42690.21,42739.22,42611.45,42684.15,296.54569
2024-01-01 12:30:00,42684.16,42780.0,42643.68,42648.38,488.98282
2024-01-01 13:00:00,42648.37,42733.81,42612.76,42717.27,273.94142999999997
2024-01-01 13:30:00,42717.28,42748.0,42670.0,42715.54,223.26097
2024-01-01 14:00:00,42715.54,42715.55,42580.0,42621.09,363.53018
2024-01-01 14:30:00,42621.1,42661.89,42586.5,42612.24,347.48134
2024-01-01 15:00:00,42612.24,42733.28,42586.51,42683.2,290.25964
2024-01-01 15:30:00,42683.21,42847.07,42601.1,42783.05,652.44199
2024-01-01 16:00:00,42783.05,42856.0,42664.42,42723.04,607.93238
2024-01-01 16:30:00,42723.03,42782.6,42703.39,42725.15,310.77818
2024-01-01 17:00:00,42725.15,42781.09,42718.72,42731.11,374.73086
2024-01-01 17:30:00,42731.12,42824.9,42704.42,42812.7,302.60591999999997
2024-01-01 18:00:00,42812.71,43208.86,42812.7,43063.05,1451.17842
2024-01-01 18:30:00,43063.06,43178.65,43018.86,43111.1,692.13055
2024-01-01 19:00:00,43111.1,43316.88,43103.64,43262.01,701.15047
2024-01-01 19:30:00,43262.01,43550.0,43234.16,43517.99,1246.46486
2024-01-01 20:00:00,43517.98,43757.13,43510.71,43699.56,1760.76919
2024-01-01 20:30:00,43699.56,43829.99,43636.39,43687.86,1144.30376
2024-01-01 21:00:00,43687.85,43792.59,43632.0,43656.15,800.95476
2024-01-01 21:30:00,43656.14,43656.15,43480.76,43619.21,740.6365
2024-01-01 22:00:00,43619.22,43661.1,43361.6,43471.1,702.60096
2024-01-01 22:30:00,43471.11,43531.49,43439.17,43529.93,321.76276
2024-01-01 23:00:00,43529.94,44000.0,43529.93,43989.99,1762.46222
2024-01-01 23:30:00,43989.99,44184.1,43929.75,44179.55,1713.50829
2024-01-02 00:00:00,44179.55,44844.0,44148.34,44609.79,4152.21577
2024-01-02 00:30:00,44609.78,45200.0,44553.92,45056.0,2834.0439
2024-01-02 01:00:00,45056.0,45372.79,44832.01,44930.24,3078.9071
2024-01-02 01:30:00,44930.24,45010.0,44686.0,44855.96,1318.95666
2024-01-02 02:00:00,44855.96,45100.0,44855.95,45099.99,1379.38082
2024-01-02 02:30:00,45099.99,45381.42,45073.9,45378.96,1636.66153
2024-01-02 03:00:00,45378.96,45469.43,45131.1,45316.71,1352.77677
2024-01-02 03:30:00,45316.7,45500.0,45312.1,45402.38,1340.34404
2024-01-02 04:00:00,45402.38,45468.99,45240.38,45362.27,1177.0056
2024-01-02 04:30:00,45362.27,45362.28,45170.0,45179.8,1091.27012
2024-01-02 05:00:00,45179.8,45324.72,45121.96,45261.08,950.52137
2024-01-02 05:30:00,45261.08,45318.44,45133.17,45179.48,666.76283
2024-01-02 06:00:00,45179.48,45283.44,45130.0,45250.2,596.56532
2024-01-02 06:30:00,45250.2,45308.15,45168.74,45168.75,793.773
2024-01-02 07:00:00,45168.75,45643.75,45168.74,45461.1,1589.75405
2024-01-02 07:30:00,45461.1,45528.0,45278.9,45455.53,1522.77073
2024-01-02 08:00:00,45455.52,45849.84,45326.6,45748.52,1847.39437
2024-01-02 08:30:00,45748.53,45852.93,45576.13,45759.3,1475.8227
2024-01-02 09:00:00,45759.3,45879.63,45658.28,45831.12,1113.7504
2024-01-02 09:30:00,45831.12,45831.12,45631.1,45673.48,982.71155
2024-01-02 10:00:00,45673.48,45711.1,45553.3,45647.92,957.03296
2024-01-02 10:30:00,45647.92,45654.1,45431.52,45584.99,1112.18953
2024-01-02 11:00:00,45585.0,45698.67,45494.17,45496.57,828.96458
2024-01-02 11:30:00,45496.58,45548.16,45200.0,45433.99,1709.5284900000001
2024-01-02 12:00:00,45433.99,45489.0,45316.0,45450.0,784.40218
2024-01-02 12:30:00,45450.0,45589.68,45271.04,45301.99,1343.70929
2024-01-02 13:00:00,45302.0,45560.0,45264.39,45525.12,1161.0713600000001
2024-01-02 13:30:00,45525.11,45705.8,45518.66,45637.93,1092.69732
2024-01-02 14:00:00,45637.92,45800.0,45554.35,45638.03,1384.5445300000001
